Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
"МБОУ ""Лицей №15""";Березовский;4;93;55.6692853;86.2744636
"МБОУ ""Лицей №15""";Березовский;4;93;56.9096284;60.8180256
МБОУ гимназия имени академика Н.Г.Басова при ВГУ;Воронеж;1;92;51.6592378;39.1968284
"Муниципальное бюджетное общеобразовательное учреждение Анжеро-Судженского городского округа ""Средняяобщеобразовательная школа №12""";Анжеро-Судженск;1;92;56.0787179;86.0202207
Технический лицей 176 Карасукского района Новосибирской области;Карасук;2;92;53.7343772;78.042457
"МБОУ ""Лицей №57"" города Прокопьевска Кемеровской области";Прокопьевск;1;92;53.8604562;86.7183428
Средняя общеобразовательная школа 28 г.Семей Р.Казахстан;Семей;1;92;50.42675;80.26669
Гимназия 9 г.Свободного Амурской области;Свободный;1;92;51.361264;128.1218995
МБОУ Средняя общеобразовательная школа с углубленным изучением отдельных предметов № 8 м.о. Ленинск-Кузнецкого городского округа Кемеровской области;Ленинск-Кузнецкий;1;92;54.6674092;86.1796724
"МОУ ""Гимназия №18""";Магнитогорск;1;92;53.4071891;58.9791432
Таксимовская средняя общеобразовательная школа 3 Муйского р-на Р.Бурятия;Таксимо;1;92;56.34162;114.90048
Средняя школа Нгуен Бинь Кхием. г. Халонг. провинция Куангнинь;Халонг;1;91;20.95045;107.07336
Средняя общеобразовательная школа 1 им.Н.Г.Чернышевского г.Семей Р.Казахстан;Семей;1;91;50.42675;80.26669
"Национальный исследовательский ядерный университет ""МИФИ""";Москва;1;90;55.75222;37.61556
Средняя общеобразовательная школа № 15 г. Кемерово;Кемерово;2;90;55.3909721;86.0467864
"КГУ ""Специализированный лицей №24 ""Экономика и бизнес"" для одаренных детей с обучением на трех языках"" г. Талдыкорган Алматинская обл.";Талдыкорган;1;90;45.01556;78.37389
Троицкая средняя общеобразовательная школа Кемеровской обл.;Троицкое;1;89;52.9821;84.6757
ФГАОУ ВО Тюменский государственный университет;Тюмень;1;89;57.1530824;65.5343118
Гимназия 24 им.М.В.Октябрьской г.Томск;Томск;1;89;56.4847036;84.9481737
Школа-гимназия#45;Шымкент;1;89;42.3;69.6
Средняя общеобразовательная школа 11 г.Киселевск;Киселевск;1;89;54.0060382;86.6367387
Гимназия №83;Ижевск;1;89;56.8527444;53.2113961
Гимназия г. Гурьевска;Гурьевск;1;89;54.2860005;85.947723
Гимназия г. Гурьевска;Гурьевск;1;89;54.7705368;20.6039109
Школа 90;Железногорск;1;89;52.3378753;35.3516834
Школа 90;Железногорск;1;89;56.2529346;93.532167
МАОУ СОШ №4 имени Героя Советского союза Ф.А. Лузана;Абинск;1;89;44.8679931;38.1618437
Муниципальное автономное общеобразовательное учреждение                 «Средняя школа «Комплекс Покровский» №153;Красноярск;1;89;56.009466;92.8524162
"Гимназия ""Бэст"" г.Петропавловск Р.Казахстан";Петропавловск;1;89;54.86667;69.15
"МБОУ лицей 22 ""Надежда сибири""";Новосибирск;1;89;55.0281016;82.9210575
"КГУ ""Общеобразовательная школа №1"" акимата города Сарани";Сарань;1;88;49.7908;72.83744
Средняя школа №3 города Курчатова Р.Казахстан;Курчатов;2;88;51.6605475;35.6571711
Сибирская академия государственной службы;Новосибирск;1;88;55.0281016;82.9210575
школа-гимназия №20 имени Титова;Шымкент;2;88;42.3;69.6
"МАОУ ""Сибирский лицей""";Томск;3;88;56.4847036;84.9481737
Степногорский политехнический колледж;Степногорск;1;87;52.35062;71.88161
Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;5;87;56.4847036;84.9481737
Муниципальное автономное общеобразовательное учреждение «Миасская средняя общеобразовательная школа № 16»;Миасс;3;87;55.0455774;60.1077757
Глубоковская средняя школа имени Ы.Алтынсарина ВКО Р.Казахстан;Глубокое;1;87;50.14112;82.31329
Школа-гимназия №33 с углубленным изучением экономики и права города Бишкек;Бишкек;1;86;42.87;74.59
Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск;Ангарск;1;86;52.5448102;103.8885385
"МАОУ ""Школа №26""";Балашиха;1;86;55.7963352;37.9381413
"МБОУ ""Гимназия №1 Брянского района""";Глинищево;1;86;53.30416;34.06523
"МАОУ ""СОШ №93""";Кемерово;1;86;55.3909721;86.0467864
Средняя общеобразовательная школа № 92 с углубленным изучением отдельных предметов г. Кемерово;Кемерово;1;86;55.3909721;86.0467864
"ГБОУ ""Курганский областной лицей-интернат для одаренных детей""";Лесниково;1;86;55.28222;65.3175
Средняя общеобразовательная школа 56 г.Кургана;Курган;1;86;55.4443448;65.3161339
"МБОУ ""Средняя общеобразовательная школа №79"" г. Новокузнецка Кемеровской области";Новокузнецк;1;86;53.7942757;87.2144046
"МОУ ""ГИМНАЗИЯ №34""";Саратов;1;86;51.530376;45.9530257
"МБОУ города Новосибирска ""СОШ №155""";Новосибирск;1;86;55.0281016;82.9210575
Гимназия 4 г.Новосибирска;Новосибирск;1;86;55.0281016;82.9210575
МБОУ СОШ 67;Новосибирск;1;86;55.0281016;82.9210575
"КГУ ""Средняя школа № 4"" КГУ ""Отдел образования акимата г. Петропавловска""";Петропавловск;1;86;54.86667;69.15
Школа-лицей №46;Шымкент;1;86;42.3;69.6
Средняя общеобразовательная школа 2 г.Семей Р.Казахстан;Семей;1;85;50.42675;80.26669
МАОУ Средняя общеобразовательная школа № 14;Кемерово;2;85;55.3909721;86.0467864
"МБОУ ""СОШ 40""";Кемерово;2;84;55.3909721;86.0467864
Общеобразовательная средняя школа 4 г.Жезказгана Р.Казахстан;Жезказган;1;84;47.78333;67.76667
Средняя общеобразовательная школа 29 Пальмира г.Семей Р.Казахстан;Семей;1;84;50.42675;80.26669
Муниципальная средняя (полная) общеобразовательная школа № 90 г.Северск;Северск;1;83;56.6031143;84.8809687
МАОУ Лицей № 9;Новосибирск;1;83;55.0281016;82.9210575
"Частное общеобразовательное учреждение ""Гимназия №1""";Новороссийск;1;83;44.7234264;37.7687218
Средняя общеобразовательная школа 143 г.Красноярска;Красноярск;1;83;56.009466;92.8524162
Профессиональное училище №8;Куйбышев;1;83;55.4684104;78.3241042
МБОУ Средняя школа №  3;Красноярск;1;83;56.009466;92.8524162
средняя школа 145;Красноярск;1;83;56.009466;92.8524162
Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа 19 с углубленным изучением отдельных предметов. город Междуреченск. Кемеровская область;Междуреченск;1;83;53.6865695;88.0703888
Муниципальное автономное общеобразовательное учреждение «Гимназия №1» города Минусинска Красноярского края;Минусинск;1;83;53.7105509;91.6871866
"МБОУ ""Гимназия 1 г. Владивостока""";Владивосток;1;83;43.1163807;131.882348
"Муниципальное бюджетное общеобразовательное учреждение ""Лицей №174"" г. Зеленогорска Красноярского края";Зеленогорск;2;83;56.1133001;94.5888736
