Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
"ГОУ СПО ""Черногорский механико-технологический техникум""";Черногорск;1;89;53,8258425;91,3259669
Средняя общеобразовательная школа им.Корниенко  п.Топар Карагандинская обл. Р.Казахстан;Топар;1;89;49,54764056;72,86679274
гимназия №2;Турсунзаде;1;89;38,51437;68,23327
Экономический лицей г.Семей Р.Казахстан;Семей;2;89;50,42675;80,26669
Средняя общеобразовательная школа 28 г.Семей Р.Казахстан;Семей;12;89;50,42675;80,26669
Общеобразовательная средняя школа 4 г.Жезказгана Р.Казахстан;Жезказган;5;89;47,78333;67,76667
гимназия для одарённых детей;Душанбе;1;89;38,53575;68,77905
Среднее общеобразовательное учреждение № 72 г.Душанбе;Душанбе;1;89;38,53575;68,77905
"Коммунальное государственное учреждение ""Средняя школа №7 города Аксу";Аксу;1;89;52,44422;71,95761
"ГОУСПО "" Артемовский колледж точного приборостроения"" г. Артемовский";Артемовский;1;89;57,3384162;61,8946599
"КГУ  ""Средняя общеобразовательная школа № 9""";Восточно-Казахстанская;1;88;54,22317538;83,22226745
уральский техникум Рифей;Екатеринбург;1;88;56,8386326;60,6054887
КГБО УНПО Профессиональное училище №22;Игарка;1;88;67,4667947;86,5814287
МАОУ Средняя общеобразовательная школа № 16 г. Карпинска;Карпинск;1;88;59,7664444;60,0011798
МБОУ СОШ № 97 Г. КЕМЕРОВО ;Кемерово;1;88;55,3909721;86,0467864
ГБОУ СОШ №58;Севастополь;1;88;44,58883;33,5224
МБОУ СОШ 92;Новосибирск;1;88;55,0281016;82,9210575
Академия труда и социальных отношений;Москва;1;88;55,75222;37,61556
Средняя общеобразовательная школа 13 г.Нижневартовск ХМАО;Нижневартовск;1;88;60,9397379;76,5696206
"МАОУ ""Средняя школа №145"" города Красноярска Красноярского края ";Красноярск;1;88;56,009466;92,8524162
"КГУ ""Средняя школа №3 города Курчатова""";Курчатов;1;88;51,6605475;35,6571711
Средняя школа с.Табуны;Табуны;1;88;52,7773;78,7896
общеобразовательная средняя школа-лицей №4 с ДМЦ;Талгар;1;88;43,35598057;77,30798403
Областная специализированная школа-интернат №4 для одаренных детей Болашак г.Степногорск;Степногорск;3;88;52,35062;71,88161
МАОУ СОШ № 60;Тюмень;1;88;57,1530824;65,5343118
Забайкальский краевой лицей-интернат;Чита;2;88;52,0340128;113,4994884
ФГОУ СПО Юргинский техникум машиностроения и информационных технологий;Юрга;1;88;55,7202689;84,8885516
ГБОУ СПО Юргинский технологический колледж;Юрга;1;88;55,7202689;84,8885516
Сахалинский государственный университет;Южно-Сахалинск;1;87;46,959133;142,7381252
гимназия №69 им. Чередова И.М.;Омск;2;87;54,9848136;73,3674638
Средняя общеобразовательная школа-гимназия №9;Павлодар;1;87;52,28333;76,96667
"АОО ""Назарбаев Интеллектуальная школа""";Нур-Султан;1;87;51,1801;71,44598
Канонерская средняя школа Бескарагайского р-на Восточно-Казахстанской области;Канонерка;3;87;50,74724888;79,67469192
Школа-лицей им. Х. Жээнбаева ;Бостери;1;87;42,660795;77,188343
Школа-гимназия 10 г.Абая Карагандинской обл. Р.Казахстан;Абай;1;86;49,63575;72,86164
"КГУ ""Лицей №134"" Управления образования города Алматы";Алматы;1;86;43,25667;76,92861
средняя школа имени Н. Алдабергенова;Карабулак;1;86;43,3054762;44,9094521
Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №19;Ишимбай;1;86;53,4546314;56,043874
Среднее общеобразовательное учреждение № 81 района Сино г.Душанбе;Душанбе;1;86;38,53575;68,77905
Общеобразовательная средняя школа 22 г.Жезказган Р.Казахстан;Жезказган;7;86;47,78333;67,76667
"КГУ ""Комплекс ""Детский сад-школа-гимназия №47"" города Астаны";Нур-Султан;1;86;51,1801;71,44598
Бюджетное общеобразовательное учреждение города Омска «Средняя общеобразовательная школа № 53»;Омск;1;86;54,9848136;73,3674638
Павлодарский машиностроительный колледж Р.Казахстан;Павлодар;1;86;52,28333;76,96667
Средняя школа №3 города Курчатова Р.Казахстан;Курчатов;3;86;51,6605475;35,6571711
"МБОУ ""Средняя школа №134""";Красноярск;1;86;56,009466;92,8524162
Средняя общеобразовательная школа 143 г.Красноярска;Красноярск;1;86;56,009466;92,8524162
Сибирский федеральный университет;Красноярск;1;86;56,009466;92,8524162
Шегарская муниципальная средняя (полная) общеобразовательная школа № 2;Мельниково;1;86;56,55738;84,0835
Гимназия 24 г.Междуреченск;Междуреченск;1;86;53,6865695;88,0703888
Муниципальное автономное общеобразовательное учреждение «Миасская средняя общеобразовательная школа № 16»;Миасс;1;86;55,0455774;60,1077757
"МБОУ ""Средняя общеобразовательная школа №2""";Ленинск-Кузнецкий;1;86;54,6674092;86,1796724
"МОУ ""Гимназия №18""";Магнитогорск;1;86;53,4071891;58,9791432
МБОУ СОШ №47;Нижний Новгород;1;86;56,3242093;44,0053948
"Муниципальное казенное общеобразовательное учреждение ""Средняя школа № 5 городского округа город Михайловка Волгоградской области""";Михайловка;1;86;50,0708749;43,2400847
Структурное подразделение Новосибирского государственного угниверситета-Специализированный учебно-научный центр НГУ г.Новосибирск;Новосибирск;1;86;55,0281016;82,9210575
Средняя общеобразовательная школа 12 г.Новоалтайск;Новоалтайск;1;86;53,4120811;83,9311249
ГОУ СПО Юргинский техникум отраслевых технологий и права;Юрга;1;86;55,7202689;84,8885516
МБОУ Средняя общеобразовательная школа № 14 имени К.С. Федоровского г. Юрги Кемеровской области РФ;Юрга;2;86;55,7202689;84,8885516
ГОУНПО Профессиональное училище №55;Юрга;2;86;55,7202689;84,8885516
Средняя общеобразовательная школа 8 г.Южно-Сахалинск;Южно-Сахалинск;1;86;46,959133;142,7381252
Тюменский государственный университет;Тюмень;1;86;57,1530824;65,5343118
Гимназия № 13 им. М. Горького;Худжанск;3;86;40,283611;69,623962
Ушановская средняя школа Глубоковского р-на ВКО Р.Казахстан;Ушаново;1;86;49,9735464;82,7580199
Школа-гимназия №6;Степногорск;1;86;52,35062;71,88161
Школа-гимназия 6 г.Степногорск Р.Казахстан;Степногорск;3;86;52,35062;71,88161
Гимназия 1;Стерлитамак;1;86;53,6302498;55,9315707
"муниципальное автономное общеобразовательное учреждение ""Технологический лицей"" г. Сыктывкар. Республика Коми";Сыктывкар;1;86;61,668789;50,8356491
Тайгинский техникум железнодорожного транспорта;Тайга;1;86;56,0622767;85,6207907
Средняя школа №17 ГУ Отдел образования города Талдыкорган;Талдыкорган;1;86;45,01556;78,37389
Областная школа-интернат для одаренных детей г.Талдыкорган Р.Казахстан;Талдыкорган;1;86;45,01556;78,37389
Средняя общеобразовательная школа 34 г.Семей Р.Казахстан;Семей;2;86;50,42675;80,26669
Средняя общеобразовательная школа 29 Пальмира г.Семей Р.Казахстан;Семей;5;86;50,42675;80,26669
Средняя школа им.Корниенко Абайского р. Карагандинской обл. Р.Казахстан;Топар;1;86;49,54764056;72,86679274
Муниципальное автономное общеобразовательное учреждение лицей №51;Томск;1;86;56,4847036;84,9481737
Восточно-Казахстанский областной специализированный лицей БIЛIМ-ИННОВАЦИЯ для одаренных детей города Семей;Семей;2;85;50,42675;80,26669
