Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота
"Лицей ""Бригантина"" г.Заринск";Заринск;5;76;53.7063495;84.9314703
Средняя общеобразовательная школа 22 с углублённым изучением отдельных предметов ;Каменск-Уральский;1;76;56.4149095;61.9189837
Итатская средняя общеобразовательная школа;Итатский;1;76;56.07;89.03694
Лицей 3 г.Иркутск;Иркутск;1;76;52.2863513;104.280655
Дальневосточный федеральный университет;Владивосток;1;76;43.1163807;131.882348
Средняя общеобразовательная школа 11 г.Гурьевск;Гурьевск;6;76;54.2860005;85.947723
Средняя общеобразовательная школа 11 г.Гурьевск;Гурьевск;6;76;54.7705368;20.6039109
Средняя общеобразовательная школа 1 г.Гусиноозерск;Гусиноозерск;2;76;51.2865751;106.5230732
"МБОУ ""СОШ №2""";Дагестанские Огни;1;76;42.1151021;48.1939983
МБОУ СОШ 36;Екатеринбург;1;76;56.8386326;60.6054887
Средняя общеобразовательная школа 36 г.Братска;Братск;1;76;56.1513951;101.6339892
Лицей 2 г.Бугульма;Бугульма;1;76;54.5363428;52.7895286
МБОУ СОШ №39;Брянск;1;76;53.2420071;34.3652716
Средняя общеобразовательная школа города Билибино Чукотского автономного округа;Билибино;1;76;68.0585533;166.4388451
МОУ Средняя общеобразовательная школа №2 с углубленным изучением языков и культуры еврейского народа;Биробиджан;1;76;48.7945975;132.9217594
МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 1 ГОРОДСКОГО ОКРУГА БОЛЬШОЙ КАМЕНЬ;Большой Камень;1;76;43.1112737;132.3480354
МАОУ Гимназия №17 г. Белорецк ;Белорецк;1;76;53.9675927;58.4099562
Средняя общеобразовательная школа 8 г.Бийск;Бийск;2;76;52.5393683;85.2138852
Гимназия 1 г.Белогорска;Белогорск;1;76;45.0571581;34.5998775
Гимназия 1 г.Белогорска;Белогорск;1;76;50.9212235;128.4738742
МАОУ Гимназия №1 г. Белебея муниципального района  Белебеевский район Республики Башкортостан;Белебей;1;76;54.1033832;54.1111878
Лицей №122;Барнаул;1;76;53.3481145;83.7798362
Лицей №112;Барнаул;1;76;53.3481145;83.7798362
Лицей 101 г.Барнаула;Барнаул;1;76;53.3481145;83.7798362
Средняя общеобразовательная школа 11 г.Ачинск;Ачинск;1;76;56.2538662;90.47949
"ГАОУ ""Чукотский окружной профильный лицей""";Анадырь;1;76;64.7314347;177.5015752
Муниципальное Бюджетное Общеобразовательное Учреждение Средняя общеобразовательная школа № 12 Муниципальное образование город курорт Анапа;Анапская;1;76;44.89671;37.386
Многопрофильная гимназия № 11 г.Анжеро-Судженска;Анжеро-Судженск;1;76;56.0787179;86.0202207
Опытненская средняя общеобразовательная школа;Абакан;1;76;53.7223661;91.4437792
Средняя общеобразовательная школа 9 г.Абакан;Абакан;1;76;53.7223661;91.4437792
"МБОУ ""Гимназия г. Алдан""";Алдан;1;76;58.6094885;125.3816689
"МБОУ - Алданский лицей муниципального образования ""Алданский район"" РС (Я)";Алдан;1;76;58.6094885;125.3816689
Алексеевская средняя общеобразовательная школа Кормиловскогор-на Омской обл.;Алексеевка;1;76;50.6299932;38.6881776
МАОУ Гимназия города Юрги Кемеровская область;Юрга;2;76;55.7202689;84.8885516
МБОУ СОШ №6 в г.Юрге;Юрга;1;76;55.7202689;84.8885516
"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа"" пгт.Ярославский Хорольского муниципального района Приморского края";Ярославский;1;76;44.18578;132.22862
Средняя общеобразовательная школа 19 г.Яровое Алтайский край;Яровое;5;75;52.9251728;78.5729898
МБОУ Анжеро-Судженского г.о. Средняя общеобразовательная школа №12;Анжеро-Судженск;4;75;56.0787179;86.0202207
Гимназия 80 г.Барнаул;Барнаул;2;75;53.3481145;83.7798362
Лицей №7 города Бердска Новосибирской области;Бердск;2;75;54.7582375;83.1072212
Средняя общеобразовательная школа 16 г.Березовский;Березовский;5;75;55.6692853;86.2744636
Средняя общеобразовательная школа 16 г.Березовский;Березовский;5;75;56.9096284;60.8180256
Бийский лицей-интернат Алтайского края;Бийск;6;75;52.5393683;85.2138852
МБОУ средняя общеобразовательная школа №4 г.Гусиноозерска имени Героя Социалистического труда Г.Д. Тучинова;Гусиноозерск;2;75;51.2865751;106.5230732
"КГАОУ ""Школа космонавтики""";Железногорск;12;75;52.3378753;35.3516834
"КГАОУ ""Школа космонавтики""";Железногорск;12;75;56.2529346;93.532167
Средняя общеобразовательная школа 143 г.Красноярска;Красноярск;3;75;56.009466;92.8524162
Карагандинский политехнический колледж Р.Казахстан;Караганда;1;75;49.83333;73.1658
Средняя общеобразовательная школа 52 г.Кемерово;Кемерово;5;75;55.3909721;86.0467864
Средняя общеобразовательная школа № 49;Новокузнецк;2;75;53.7942757;87.2144046
Профессионально-техническое училище №10 г.Северска;Северск;1;75;56.6031143;84.8809687
"МОУ ""Средняя школа №7 городского округа Стрежевой с углубленным изучением отдельных предметов"" Томской области";Стрежевой;2;75;60.7328199;77.6040323
"МБОУ ""Советская СОШ""";Советское;2;75;52.28556;85.41424
МБОУ Школа №71;Прокопьевск;2;75;53.8604562;86.7183428
"БОУ г.Омска ""Гимназия №43""";Омск;2;75;54.9848136;73.3674638
"МАОУ ""СОШ""Мастерград"" г. Перми";Пермь;2;75;58.0103211;56.2341778
Средняя общеобразовательная школа 31 г.Орск;Орск;2;75;51.2293069;58.4751889
"ГОУ СПО ""Черногорский механико-технологический техникум""";Черногорск;1;75;53.8258425;91.3259669
Гимназия 14 г.Улан-Удэ;Улан-Удэ;2;75;51.8334378;107.5841511
Ферганский промышленный профессиональный колледж;Фергана;1;75;40.38421;71.78432
Киргулийский электротехнический профессиональный колледж г.Фергана;Фергана;3;75;40.38421;71.78432
Средняя общеобразовательная школа №21 Байкальская перспектива г.Улан-Удэ;Улан-Удэ;2;75;51.8334378;107.5841511
ФГАОУ ВО Тюменский государственный университет;Тюмень;6;75;57.1530824;65.5343118
МАОУ Гимназия № 18;Томск;6;75;56.4847036;84.9481737
МАОУ Сибирский лицей г. Томск;Томск;9;75;56.4847036;84.9481737
"МОУ ""ТАЛОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""";Таловка;2;75;52.13099729;107.1187315
Средняя общеобразовательная школа № 50 г.Томск;Томск;8;75;56.4847036;84.9481737
муниципальное бюджетное общеобразовательное учреждение Тамбовская средняя общеобразовательная школа;Тамбовка;1;74;50.09968;128.05724
"МАОУ ""СОШ №12 имени Олега Кошевого""";Сыктывкар;1;74;61.668789;50.8356491
Средняя школа с.Табуны;Табуны;1;74;52.7773;78.7896
"муниципальное бюджетное общеобразовательное учреждение Тогучинского района Новосибирской области ""Тогучинская средняя школа №3""";Тогучин;1;74;55.2250038;84.4103867
Терентьевская средняя школа Прокопьевский район Кемеровская область;Терентьевское;1;74;54.11440073;86.99298087
Тарко-Салинская средняя школа 1 пгт.Тарко-Сале;Тарко-Сале;1;74;64.9117649;77.7610204
Средняя общеобразовательная школа 9 г.Таштагол;Таштагол;5;74;52.7594505;87.8477272
Тегульдетская муниципальная средняя (полная) общеобразовательная школа;Тегульдет;1;74;57.30679;88.16004
МАОУ СОШ №65 г.Томска;Томск;2;74;56.4847036;84.9481737
"МАОУ ""Зональная средняя общеобразовательная школа"" Томского района";Томск;1;74;56.4847036;84.9481737
Муниципальная средняя (полная) общеобразовательная школа № 33 г.Томск;Томск;1;74;56.4847036;84.9481737
Тюменский государственный нефтегазовый университет;Тюмень;1;74;57.1530824;65.5343118
Средняя общеобразовательная школа № 42 города Тюмени;Тюмень;2;74;57.1530824;65.5343118
МАОУ гимназия №49;Тюмень;1;74;57.1530824;65.5343118
"МБОУ ""Тополинская средняя общеобразовательная школа""";Топольное;1;74;51.5105;84.4813
МОУ Турунтаевская средняя общеобразовательная школа №1;Турунтаево;1;74;52.20203;107.64484
Муниципальное бюджетное общеобразовательное учреждение Топановская средняя школа №16 имени Кокова Николая Николаевича;Топаново;1;74;51.5105;84.4813
Лицей 1 им.А.С.Пушкина г.Томска;Томск;2;74;56.4847036;84.9481737
"МАОУ ""Центр образования"" номер 159";Уфа;1;74;54.734853;55.9578647
Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа с углубленным изучением отдельных предметов № 3»;Ханты-Мансийск;1;74;61.0024344;69.0183322
Средняя школа № 1 города Хазар;Хазар;4;74;41.9974;48.33325
муниципальное бюджетное общеобразовательное учереждение средняя общеобразовательная школа № 85;Хабаровск;1;74;48.4647991;135.0598811
"МБОУ ""Марушинская средняя общеобразовательная школа"" Целинного района Алтайского края";Целинное;1;74;53.07822;85.65363
Средняя общеобразовательная школа 19 г.Улан-Удэ;Улан-Удэ;5;74;51.8334378;107.5841511
Гимназия 33 г.Улан-Удэ;Улан-Удэ;1;74;51.8334378;107.5841511
МБОУ Лицей г.Черногорска Республики Хакасия;Черногорск;1;74;53.8258425;91.3259669
МБОУ СОШ №89;Челябинск;1;74;55.1603659;61.4007858
"МБНОУ ""Октемский научно-образовательный центр""";Чапаево;1;74;43.470154;76.806415
МБОУ СОШ №3;Чита;1;74;52.0340128;113.4994884
МБОУ СОШ №16;Чита;1;74;52.0340128;113.4994884
Забайкальская краевая гимназия-интернат г.Читы;Чита;1;74;52.0340128;113.4994884
"МБОУ ""Лицей №1""";Шадринск;1;74;56.0870152;63.6298234
МБОУ Шушенская средняя общеобразовательная школа №1 пгт Шушенское Шушенского района Красноярского края;Шушенское;1;74;53.325;91.93556
Шахриханский профессиональный колледж жилищно-коммунального хозяйства и сервиса;Шахрихан;1;74;40.711598;72.05094
Средняя общеобразовательная школа №15 г.Орска;Орск;1;74;51.2293069;58.4751889
"МБОУ ""СОШ п. Пеледуй"" МО ""Ленский район"" РСЯ";Пеледуй;1;74;59.62889;112.74056
Парабельская гимназия;Парабель;1;74;58.69778;81.4825
Средняя  общеобразовательная школа №39 инновационного типа с гимназическими классами города Павлодара;Павлодар;1;74;52.28333;76.96667
"БОУ г.Омска ""Гимназия №88""";Омск;2;74;54.9848136;73.3674638
"МОАУ ""Лицей №1 г. Новотроицка Оренбургской области""";Новотроицк;1;74;51.1965071;58.3017455
Средняя школа № 6;Норильск;1;74;69.3490828;88.2009965
"МБОУ г. Новосибирска ""Гимназия №9 имени Героя Российской Федерации Немыткина Михаила Юрьевича""""";Новосибирск;1;74;55.0281016;82.9210575
"МБОУ ""Лицей №136""";Новосибирск;1;74;55.0281016;82.9210575
"МБОУ ""Лицей №185""";Новосибирск;1;74;55.0281016;82.9210575
"Частное общеобразовательное учреждение ""Гимназия №1""";Новороссийск;1;74;44.7234264;37.7687218
Лицей № 111;Новокузнецк;2;74;53.7942757;87.2144046
Лицей 46 г.Новокузнецка;Новокузнецк;1;74;53.7942757;87.2144046
"МБОУ ""Школа №14"" ";Прокопьевск;1;74;53.8604562;86.7183428
Средняя общеобразовательная школа 6 г.Радужный;Радужный;1;74;55.9961034;40.3323247
Средняя общеобразовательная школа 6 г.Радужный;Радужный;1;74;62.1343067;77.4584346
