Средний_балл;Учебное_заведение;Город;Число_поступающих
86;Бюджетное общеобразовательное учреждение города Омска «Средняя общеобразовательная школа № 53»;Омск;1
86;"КГУ ""Комплекс ""Детский сад-школа-гимназия №47"" города Астаны";Нур-Султан;1
86;МБОУ СОШ №47;Нижний Новгород;1
86;Средняя общеобразовательная школа 12 г.Новоалтайск;Новоалтайск;1
86;Структурное подразделение Новосибирского государственного угниверситета-Специализированный учебно-научный центр НГУ г.Новосибирск;Новосибирск;1
86;"МБОУ ""Средняя школа №134""";Красноярск;1
86;Средняя школа №3 города Курчатова Р.Казахстан;Курчатов;3
86;"МБОУ ""Средняя общеобразовательная школа №2""";Ленинск-Кузнецкий;1
86;"МОУ ""Гимназия №18""";Магнитогорск;1
86;Шегарская муниципальная средняя (полная) общеобразовательная школа № 2;Мельниково;1
86;Муниципальное автономное общеобразовательное учреждение «Миасская средняя общеобразовательная школа № 16»;Миасс;1
86;Гимназия 24 г.Междуреченск;Междуреченск;1
86;"Муниципальное казенное общеобразовательное учреждение ""Средняя школа № 5 городского округа город Михайловка Волгоградской области""";Михайловка;1
86;Средняя общеобразовательная школа 8 г.Южно-Сахалинск;Южно-Сахалинск;1
86;МБОУ Средняя общеобразовательная школа № 14 имени К.С. Федоровского г. Юрги Кемеровской области РФ;Юрга;2
86;ГОУНПО Профессиональное училище №55;Юрга;2
86;ГОУ СПО Юргинский техникум отраслевых технологий и права;Юрга;1
86;Ушановская средняя школа Глубоковского р-на ВКО Р.Казахстан;Ушаново;1
86;Гимназия № 13 им. М. Горького;Худжанск;3
86;Тайгинский техникум железнодорожного транспорта;Тайга;1
86;"муниципальное автономное общеобразовательное учреждение ""Технологический лицей"" г. Сыктывкар, Республика Коми";Сыктывкар;1
86;Средняя школа №17 ГУ Отдел образования города Талдыкорган;Талдыкорган;1
86;Областная школа-интернат для одаренных детей г.Талдыкорган Р.Казахстан;Талдыкорган;1
86;Школа-гимназия №6;Степногорск;1
86;Школа-гимназия 6 г.Степногорск Р.Казахстан;Степногорск;3
