Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Трехгорный;54,8178174;58,4465039;1;82
Трубчевск;52,5791314;33,7660013;1;58
Тулун;54,5571409;100,5779402;1;62
Туринск;58,0394258;63,698142;1;58
Тюмень;57,1530824;65,5343118;26;71
Углегорск;49,0816311;142,0693033;1;53
Улан-Удэ;51,8334378;107,5841511;39;60
Ульяновск;54,3080674;48,3748717;1;64
Усолье-Сибирское;52,7567192;103,6387694;7;61
Уссурийск;43,79726;131,9517262;3;65
Усть-Илимск;57,9431325;102,7414683;2;60
Усть-Лабинск;45,222676;39,6930239;1;82
Уфа;54,734853;55,9578647;6;66
Учалы;54,3066965;59,4126559;1;80
Хабаровск;48,4647991;135,0598811;4;72
Ханты-Мансийск;61,0024344;69,0183322;3;62
Цимлянск;47,6477668;42,093022;1;70
Челябинск;55,1603659;61,4007858;8;63
Черепаново;54,2206974;83,3724392;1;60
Череповец;59,1269214;37,9092243;1;70
Черногорск;53,8258425;91,3259669;21;66
Чита;52,0340128;113,4994884;10;72
Шагонар;51,5347357;92,9199618;1;57
Шадринск;56,0870152;63,6298234;1;61
Шарыпово;55,5389684;89,1801557;13;64
Шахты;47,7084247;40,2159154;1;61
Шелехов;52,2102462;104,0973531;1;53
Югорск;61,3124504;63,3364787;1;58
Южно-Сахалинск;46,959133;142,7381252;9;66
Юрга;55,7202689;84,8885516;84;67
Якутск;62,0280273;129,7325717;12;67
Ялуторовск;56,649167;66,297034;1;70
Яровое;52,9251728;78,5729898;7;64
