Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Заринск;53.7063495;84.9314703;2;80
Зеленогорск;56.1133001;94.5888736;14;73
Зея;53.7339151;127.2658079;1;81
Златоуст;55.1715695;59.6726264;1;88
Змеиногорск;51.1580235;82.1872476;1;66
Зональная станция;56.45152185;85.00735887;1;79
Зырянское;56.83058;86.62734;1;91
Игра;57.5549;53.0544;1;79
Ижевск;56.8527444;53.2113961;2;83
Ирбейское;55.6396;95.4515;1;79
Иркутск;52.2863513;104.280655;15;79
Искитим;54.6266869;83.2951444;1;79
Казань;55.7943877;49.1115312;3;75
Калтан;53.5210461;87.2772143;4;89
Каменск-Уральский;56.4149095;61.9189837;4;79
Камень-на-Оби;53.7915454;81.3545173;1;91
Камышеватская;46.41316;37.95632;1;70
Камышино;54.26155078;77.18407995;1;81
Канск;56.2049776;95.7051246;2;80
Караганда;49.83333;73.1658;2;79
Карасук;53.7343772;78.042457;2;76
Каргасок;59.05556;80.85722;3;83
Касли;55.8868045;60.7422529;1;81
Катайга;58.76485001;87.89280075;1;55
Качканар;58.7051759;59.4840198;1;73
Кедровый;57.5618465;79.5678914;1;57
Кемерово;55.3909721;86.0467864;72;77
Кижинга;51.8476;109.90795;1;73
Киселевск;54.0060382;86.6367387;5;81
Кокшетау;53.28333;69.4;1;80
Колпашево;58.3114716;82.9027528;7;76
Комсомольск-на-Амуре;50.550011;137.0079286;2;78
Копьево;55.01329626;89.81438833;1;83
Краснобродский;54.1581;86.4486;1;79
Красногвардейское;45.84604;41.51885;1;73
Краснодар;45.040235;38.9760801;1;84
Красное;52.86449;38.79353;1;77
Краснозерское;53.98277;79.23735;5;73
Краснокаменск;50.092858;118.0323407;2;78
Красноярск;56.009466;92.8524162;26;81
Куйбышевский район. Куйбышев;55.44753;78.32181;1;77
Кулунда;52.566;78.9385;1;83
Кумертау;52.7565537;55.7969915;1;84
Курган;55.4443448;65.3161339;4;75
Курумкан;54.32093;110.30651;2;68
Курчатов;51.6605475;35.6571711;1;87
Кызыл;51.7191542;94.4377234;5;70
Кызыл-Таш;50.2349485;87.90121915;1;68
Лангепас;61.2536667;75.1807905;1;79
Ленинск-Кузнецкий;54.6674092;86.1796724;14;81
Лесной;58.634981;59.7980528;1;64
Лесосибирск;58.2218201;92.5036986;2;74
Лиски;50.9944734;39.518302;1;68
Лысьва;58.0995987;57.8085728;1;83
Магнитогорск;53.4071891;58.9791432;2;84
Мамонтово;52.7055;81.6244;1;75
Мариинск;56.2127836;87.7454392;6;76
Маслянский;55.97636524;70.14385371;1;83
Междуреченск;53.6865695;88.0703888;19;81
Межениновка;56.37925918;85.3886266;1;64
Межозерный;55.05389926;61.42088979;1;97
Миасс;55.0455774;60.1077757;3;93
Минусинск;53.7105509;91.6871866;4;85
Могойтуй;51.28333;114.91667;1;77
Молчаново;57.58167;83.76917;1;77
Монастырище;44.19641;132.50223;1;73
Моряковский Затон;56.69448;84.65145;1;72
Мыски;53.7125516;87.8056657;5;73
Набережные Челны;55.7436475;52.3958739;1;79
Назарово;56.0113176;90.4167947;2;85
Намцы;62.71959;129.66722;2;75
Невинномысск;44.6227404;41.9476147;1;83
Нерчинский Завод;51.30829;119.61597;1;81
Нерюнгри;56.6600322;124.72031;3;84
Нефтекамск;56.0883075;54.2483391;2;72
Нефтеюганск;61.0882837;72.6164185;1;83
Нижневартовск;60.9397379;76.5696206;5;67
Нижнекамск;55.6311963;51.814407;1;97
Нижний Тагил;57.9101038;59.9813242;3;71
Николаевка;53.1257;47.2041;1;70
Новоалександровск;45.4933561;41.2154482;1;75
Новоалтайск;53.4120811;83.9311249;2;67
Новоегорьевское;52.38016807;81.48966637;3;74
Новокузнецк;53.7942757;87.2144046;56;80
Новопавловск;43.9617565;43.6342855;1;57
Новосафоновский;53.8781735;86.63403435;1;91
Новосибирск;55.0281016;82.9210575;64;79
Новотроицк;51.1965071;58.3017455;1;94
Новоуральск;57.2471507;60.095701;1;88
Новый;43.36438;132.02109;1;77
Новый Уренгой;66.0840036;76.6810032;2;70
Норильск;69.3490828;88.2009965;2;82
