Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Медногорск;51,4039421;57,5832185;1;66
Междуреченск;53,6865695;88,0703888;57;84
Миасс;55,0455774;60,1077757;12;80
Минусинск;53,7105509;91,6871866;27;80
Мирный;62,5362511;113,9668146;3;76
Мирный;62,7644267;40,3359976;3;76
Михайловка;50,0708749;43,2400847;1;67
Муравленко;63,794188;74,494913;1;69
Мыски;53,7125516;87,8056657;17;77
Набережные Челны;55,7436475;52,3958739;2;81
Надым;65,5377514;72,5182746;2;72
Назарово;56,0113176;90,4167947;26;67
Нариманов;46,6916597;47,8501624;1;78
Находка;42,8240404;132,8927812;2;82
Невинномысск;44,6227404;41,9476147;1;91
Нерюнгри;56,6600322;124,72031;11;79
Нефтекамск;56,0883075;54,2483391;4;81
Нефтеюганск;61,0882837;72,6164185;3;79
Нижневартовск;60,9397379;76,5696206;22;76
Нижнекамск;55,6311963;51,814407;2;85
Нижнеудинск;54,8969105;99,0313481;4;72
Нижний Новгород;56,3242093;44,0053948;3;70
Нижний Тагил;57,9101038;59,9813242;4;74
Новоалександровск;45,4933561;41,2154482;1;91
Новоалтайск;53,4120811;83,9311249;7;77
Новокузнецк;53,7942757;87,2144046;154;77
Новокуйбышевск;53,0995303;49,9477662;1;79
Новопавловск;43,9617565;43,6342855;1;76
Новороссийск;44,7234264;37,7687218;4;76
Новосибирск;55,0281016;82,9210575;212;77
Новотроицк;51,1965071;58,3017455;1;94
Новоузенск;50,4551744;48,1412622;1;73
Новоуральск;57,2471507;60,095701;1;78
Новый Уренгой;66,0840036;76,6810032;3;66
Норильск;69,3490828;88,2009965;7;77
Ноябрьск;63,201846;75,4509665;7;73
Нюрба;63,2828775;118,324325;1;72
Нягань;62,1454839;65,3944361;4;76
Обь;54,9945882;82,6937925;1;72
Озерск;54,4084804;22,013508;1;82
Озерск;55,7631922;60,7076337;1;82
Октябрьский;54,4815344;53,4656611;2;79
Омск;54,9848136;73,3674638;52;78
Оренбург;51,7875191;55,1017379;6;81
Орехово-Зуево;55,8151729;38,9870711;1;80
Орск;51,2293069;58,4751889;6;80
Осинники;53,5987397;87,3369948;22;75
Отрадное;59,772596;30,7988403;1;63
Павловск;50,4533684;40,1369087;3;66
Партизанск;43,1279833;133,1264754;1;67
Первоуральск;56,9081665;59,9429205;2;89
Пермь;58,0103211;56,2341778;10;83
Петровск-Забайкальский;51,2748381;108,8467139;2;79
Петропавловск-Камчатский;53,0370213;158,6559142;1;60
Покачи;61,7421977;75,5942069;2;77
Полысаево;54,6053968;86,2808803;5;76
Прокопьевск;53,8604562;86,7183428;54;79
Псков;57,819284;28,3318188;1;82
Пыть-Ях;60,7585769;72,8366445;2;82
Пятигорск;44,0411669;43,0661091;1;94
Радужный;55,9961034;40,3323247;4;76
Радужный;62,1343067;77,4584346;4;76
