Средний_балл;Учебное_заведение;Город;Число_поступающих
82;СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 93;Пермь;1
82;МОУ Гимназия №1;Петровск-Забайкальский;1
82;"муниципальное бюджетное общеобразовательное учереждение ""Лицей №46 Петропавловск-Камчатского городского округа Камчатский край";Петропавловск-Камчатский;1
82;"МОАУ ""СОШ №71""";Оренбург;1
82;"бюджетное общеобразоваетльное учреждение ""Средняя общеобразоваетльная школа № 4 имени И.И. Стрельникова""";Омск;1
82;Средняя общеобразовательная школа 109 с угл. изуч. отд. предм. г.Омск;Омск;1
82;МБОУ города Новосибирска Лицей №113;Новосибирск;1
82;"МБОУ г. Новосибирска ""Гимназия №3 в Академгородке""";Новосибирск;4
82;Специализированный учебно-научный центр НГУ;Новосибирск;15
82;"МАОУ ""Лицей №56""";Новоуральск;1
82;Лицей информационных технологий г.Новосибирск;Новосибирск;1
82;Средняя школа №1 с углубленным изучением физики и математики им. А.П.Завенягина г. Норильск Красноярский край;Норильск;1
82;Средняя школа 1 с углубленным изучением физики и математике им А.П.Завенягина ;Норильск;1
82;Средняя общеобразовательная школа 7 г.Рубцовск;Рубцовск;1
82;Средняя общеобразовательная школа 14 г.Риддер Р.Казахстан;Риддер;2
82;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов №30;Пятигорск;1
82;"МБОУ ""Школа №10""";Прокопьевск;1
82;Северская гимназия г.Северск;Северск;1
82;Средняя школа Хуацин района Линьтун г. Сиань;Сиань;1
82;Муниципальное автономное общеобразовательное учреждение Гимназия № 1 города Сосновоборска;Сосновоборск;3
82;Старобрянская средняя общеобразовательная школа с.Старая Брянь Заиграевского района Р.Бурятия;Старая Брянь;1
82;МБОУ гимназия имени Ф.К.Салманова города Сургута Ханты-Мансийского автономного округа - Югры Тюменской области;Сургут;1
82;Таксимовская средняя общеобразовательная школа 3 Муйского р-на Р.Бурятия;Таксимо;2
82;"муниципальное автономное общеобразовательное учреждение ""Гимназия №48""";Талнах;1
82;"МБОУ ""СОШ №55""";Новокузнецк;1
82;МБОУ Средняя общеобразовательная шклла №60 г. Новокузнецка;Новокузнецк;1
82;Средняя общеобразовательная школа 112 с углубленным изучением информатики г.Новокузнецка;Новокузнецк;3
82;Средняя общеобразовательная школа 13 г.Нижневартовск ХМАО;Нижневартовск;1
82;"МОАУ ""Гимназия №1""";Нефтекамск;1
82;"МОАУ ""Башкирская гимназия""";Нефтекамск;1
82;"МОУ ""МГМЛ при МГТУ им. Г. И. Носова""";Магнитогорск;1
82;Гимназия 6 имени С.Ф. Вензелева города Междуреченска Кемеровской области;Междуреченск;4
82;Гимназия 6 г.Междуреченск;Междуреченск;3
82;МОБУ гимназия №1 муниципального района Мелеузовский район РБ;Мелеуз;1
82;Гимназия имени Горького А. М.;Москаленки;1
82;СОШ №78;Кемерово;1
82;МБОУ СОШ №2;Коркино;1
82;"МБОУ ""СОШ №89 с углубленным изучением отдельных предметов"" ";Ижевск;1
82;МБОУ г. Иркутска лицей №2;Иркутск;1
82;МАОУ Лицей ИГУ города Иркутска;Иркутск;1
82;МАОУ Лицей ИГУ г. Иркутска;Иркутск;5
82;Средняя общеобразовательная школа 15 с углубленным изучением отдельных предметов г.Заринск;Заринск;1
82;Опытненская средняя общеобразовательная школа с.Зеленое;Зеленое;1
82;"МКОУ ""Вавиловская средняя общеобразовательная школа"" Бакчарского района Томской области";Вавиловка;1
82;"Муниципальное бюджетное общеобразовательное учреждение ""СОШ №1""";Верещагино;1
82;МАОУ Богандинская СОШ №1;Богандинский;1
82;"МАОУ ""Средняя общеобразовательная школа №1"" г. Горнозаводска";Горнозаводск;1
82;МАОУ СОШ №181;Екатеринбург;1
82;Гимназия № 120 г.Екатеринбурга;Екатеринбург;1
82;МАОУ СОШ с УИОП №53;Екатеринбург;1
82;Специализированный учебно-научный центр федерального государственного автономного образовательного учреждения высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»;Екатеринбург;2
82;Гимназия г.Абакана;Абакан;1
82;МБОУСОШ№18;Апшеронск;1
82;МБОУ СОШ № 16;Белово;1
82;Средняя школа № 16 города Ачинска;Ачинск;1
82;Средняя общеобразовательная школа 125 г.Барнаул;Барнаул;1
81;"Школа ""Химнасио Лас-Пальмас""";Богота;1
81;МОУ ИТЛ №24;Нерюнгри;2
81;СУНЦ Университета, г. Новосибирск;Новосибирск;5
81;Структурное подразделение Новосибирского государственного угниверситета-Специализированный учебно-научный центр НГУ г.Новосибирск;Новосибирск;2
81;"ОГБОУ ""Томский физико-технический лицей"" г. Томска Томской области";Томск;2
80;Муниципальная полная школа № 36 г. Томска;Томск;1
80;МОУ Лицей 8 им. Н.Н.Рукавишникова г.Томск;Томск;3
80;МАОУ СОШ №47 г.Томска;Томск;1
80;МАОУ СОШ №9 с углубленным изучением отдельных предметов;Тобольск;1
80;Гимназия имени Н.Д. Лицмана города Тобольска Тюменской области;Тобольск;1
80;МАОУ гимназия №55 им. Е.Г.Вёртскиной г. Томска;Томск;1
80;Турочакская средняя общеобразовательная школа Республики Алтай;Турочак;1
80;Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа №63;Тюмень;2
80;МАОУ СОШ №70 города Тюмени имени Великой Победы;Тюмень;1
80;МАОУ СОШ №62;Тюмень;1
80;МАОУ СОШ №42 города Тюмени;Тюмень;1
80;"Россия г. Челябинск МАОУ ""Лицей №37""";Челябинск;1
80;Средняя школа №2 им. М.Гелдиева г.Хазар;Хазар;2
80;Средняя школа Нгуен Бинь Кхием, г. Халонг, провинция Куангнинь;Халонг;1
80;"Бюджетное общеобразовательное учреждение Ханты-Мансийского автономного округа - Югры ""Югорский физико-математический лицей-интернат"" города Ханты-Мансийска Тюменской области";Ханты-Мансийск;1
80;МБОУ лицей №1;Цимлянск;1
80;"МБОУ ""Гимназия №9""";Усолье-Сибирское;1
80;Гимназия 1 г.Усолье-Сибирское;Усолье-Сибирское;1
80;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа 24;Уссурийск;1
80;"МАОУ ""Средняя общеобразовательная школа № 25 с углубленным изучением отдельных предметов г. Уссурийска имени В.Г. Асапова";Уссурийск;1
80;Средняя общеобразовательная школа 27 г.Усть-Каменогорск Р.Казахстан;Усть-Каменогорск;1
80;Средняя школа с углубленным изучением отдельных предметов №80 г.Хабаровска;Хабаровск;1
80;Физико-математический лицей № 93;Уфа;3
80;"МБОУ ""Ордена Дружбы народов гимназия №3 им. А. М. Горького"" городского округа город Уфа Республики Башкортостан ";Уфа;1
80;МАОУ Лицей 46;Уфа;1
80;"МБОУ ""Средняя общеобразовательная школа № 30"" города Читы Забайкальского края";Чита;1
80;СУНЦ НГУ;Новосибирск;1
80;Структурное подразделение Новосибирского государственного университета Специализированный учебно-научный центр Университета;Новосибирск;5
80;Педагогический лицей имени А.С. Пушкина (НГПЛ);Новосибирск;1
80;"МБОУ ""Лицей №200""";Новосибирск;1
80;"муниципальное бюджетное общеобразовательное учреждение города Новосибирска ""Средняя общеобразовательная школа № 202""";Новосибирск;1
80;Профессиональное училище № 105 г Норильска;Норильск;1
80;Средняя общеобразовательная школа 2 с угл. изучением иностранных языков г.Ноябрьска;Ноябрьск;1
80;Гимназия № 12 г. Новосибирска;Новосибирск;1
80;Аэрокосмический лицей имени Ю.В. Кондратюка г. Новосибирска;Новосибирск;2
80;Одесская средняя общеобразовательная школа Одесского района;Одесское;1
80;Муниципальное бюджетное общеобразовательное учреждение «Гимназия №2» городского округа город Октябрьский Республики Башкортостан;Октябрьский;1
80;"ФГБОУ ВО ОмГПУ ""Академический лицей""";Омск;1
80;"БОУ г.Омска ""Гимназия №69 им. Чередова И.М.""";Омск;1
80;МАОУ СОШ №4 г.Покачи;Покачи;1
80;Средняя(полная) общеобразовательная школа №44 с углубленным изучением отдельных предметов;Полысаево;1
80;ОСОШ №1 г.Перми;Пермь;1
80;Школа №482;Парголово;1
80;Павлодарский монтажный колледж;Павлодарская;1
80;Муниципальное бюджетное общеобразовательное учреждение Степановская средняя общеобразовательная школа;Степановка;1
80;"Муниципальное бюджетное общеобразовательное учреждение""Средняя общеобразовательная  школа №121""";Снежинск;1
80;"Школа № 1 ""Полифорум""";Серов;1
80;Гимназия 9 г.Свободного Амурской области;Свободный;1
80;МБОУ Средняя общеобразовательная школа №12 им. Л.А.Лапина гор. Сарапула;Сарапул;1
80;МБОУ школа №166;Самара;1
80;Средняя общеобразовательная школа им.Н.И.Вавилова;Саратов;1
80;"МОУ ""Лицей 50""";Саратов;1
80;"МБОУ ""СОШ №13""";Сатка;1
80;"муниципальное бюджетное общеобразовательное учреждение""Средняя общеобразовательная школа №51""";Прокопьевск;1
80;Алтайская школа-интернат с первоначальной летной подготовкой им. Павлюкова;Рубцовск;1
80;Средняя общеобразовательная школа №15 города Нерюнгри;Нерюнгри;1
80;муниципальное бюджетное общеобразовательное учреждение для детей и подростков, имеющих высокие интеллектуальные способности, гимназия №10 ЛИК города Невинномысска;Невинномысск;1
80;МОАУ СОШ № 4 городского округа город Нефтекамск Республики Башкортостан;Нефтекамск;1
80;Средняя школа № 9 с углубленным изучением отдельных предметов;Нижневартовск;1
80;"Частное общеобразовательное учреждение ""Православная гимназия во имя Святителя Луки Войно-Ясенецкого""";Новокузнецк;1
80;"МБОУ ""Лицей №8 города Новоалтайска Алтайского края""";Новоалтайск;1
80;Николаевская средняя общеобразовательная школа;Николаевка;1
80;Средняя общеобразовательная школа 12 г.Новоалтайск;Новоалтайск;1
80;Средняя общеобразовательная школа №79;Новокузнецк;1
80;МБОУ СОШ №22;Новокузнецк;1
80;Лицей 84;Новокузнецк;2
80;Шегарская муниципальная средняя (полная) общеобразовательная школа № 2;Мельниково;1
80;Муниципальное автономное общеобразовательное учреждение «Миасская средняя общеобразовательная школа № 16»;Миасс;4
80;Миасская средняя общеобразовательная школа №20;Миасс;1
80;Могойтуйская средняя общеобразовательная школа 2 Забайкальского края;Могойтуй;1
80;"Муниципальное Автономное Нетиповое Образовательное Учреждение ""Гимназия №2""";Мариинск;1
80;МАОУ СОШ №56 УИМ;Магнитогорск;1
80;Средняя общеобразовательная школа 7 г.Лянтор;Лянтор;1
80;Средняя общеобразовательная школа 4 г.Краснокаменска;Краснокаменск;1
80;Средняя общеобразовательная школа 7 г.Комсомольск-на-Амуре;Комсомольск-на-Амуре;1
80;МАОУ Новосибирского района Новосибирской области - лицей №13 п. Краснообск;Краснообск;2
80;"Средняя школа ""Комплекс Покровский""";Красноярск;1
80;МАОУ СШ №145;Красноярск;1
80;Сибирский федеральный университет;Красноярск;1
80;"МАОУ ""СОШ №7""";Курган;2
80;"муниципальное бюджетное общеобразовательное учреждение города Кургана ""Гимназия №31"" Курганской области";Курган;2
80;Средняя общеобразовательная школа № 22;Курган;1
80;Лицей №6;Красноярск;1
80;"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №3""";Кумертау;1
80;МБОУ СОШ №12;Кумертау;1
80;"ФГБОУ ВО ""Кузбасский государственный технический университет имени Т.Ф. Горбачева""";Кемерово;1
80;Средняя общеобразовательная школа № 28 г.Кемерово;Кемерово;1
80;Средняя общеобразовательная школа 45 г.Кемерово;Кемерово;1
80;"ГБНОУ ""Губернаторская женская гимназия-интернат""";Кемерово;2
80;"МБНОУ""Городской классический лицей""";Кемерово;23
80;"МОАУ г. Бузулука ""Средняя общеобразовательная школа №6 им. А. С. Пушкина"" Оренбургской области";Бузулук;1
80;"МБОУ ""Гимназия 1 г. Владивостока""";Владивосток;1
80;МАОУ Лицей Технический;Владивосток;1
80;"МБОУ ""Гимназия № 8""";Глазов;1
80;МАОУ СОШ №1 г. Гурьевска;Гурьевск;1
80;"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №34""";Златоуст;1
80;Средняя общеобразовательная школа 176 г.Зеленогорск;Зеленогорск;1
80;Краевая общеобразовательная школа-интернат по работе с одарёнными детьми Школа космонавтики г. Железногорск;Железногорск;4
80;МБОУ СОШ №8;Елабуга;1
80;"государственное бюджетное нетиповое общеобразовательное учреждение ""Губернаторская женская гимназия-интернат"" Кемеровского района Кемеровской области ";Елыкаево;1
80;МБОУ «СОШ № 72» ;Ижевск;1
80;"Муниципальное бюджетное общеобразовательное учреждение ""Лицей №101""";Барнаул;1
80;"МБОУ ""Лицей ""Сигма""";Барнаул;1
80;"МБОУ ""Гимназия №69"" им. И.В. Панфилова г. Барнаула Алтайского края";Барнаул;1
80;Средняя общеобразовательная школа №126 г. Барнаул;Барнаул;1
80;"Лицей федерального государственного бюджетного образовательного учреждения ""Приамурский государственный университет имени Шолом-Алейхема""";Биробиджан;1
80;"МБОУ города Абакана ""Гимназия""";Абакан;5
80;"МАОУ ""Агинская окружная гимназия - интернат""";Агинское;2
79;Средняя общеобразовательная школа 3 г.Бийск;Бийск;8
79;"МБОУ ""Лицей №15""";Березовский;6
79;МБОУ СОШ №15 с углубленным изучением отдельных предметов ;Заринск;6
79;"Коммунальное государственное учреждение ""Средняя школа имени Н. Островского";Бородулиха;1
79;Губернаторский многопрофильный лицей-интернат г.Кемерово;Кемерово;17
79;Средняя общеобразовательная школа № 37;Кемерово;2
79;"МАОУ Лицей №6 ""Перспектива""";Красноярск;6
79;"Муниципальное бюджетное общеобразовательное учреждение ""Гимназия № 12""";Ленинск-Кузнецкий;2
79;"МБОУ ""Лицей № 35 имени А. И. Герлингер"" г. Новокузнецка";Новокузнецк;2
79;Средняя общеобразовательная школа №107 г. Новокузнецка;Новокузнецк;2
79;Лицей №6;Рубцовск;3
79;Средняя общеобразовательная школа №2;Прокопьевск;2
79;Структурное подразделение НГУ Специализированный учебно-научный центр Университета;Новосибирск;2
79;Средняя общеобразовательная школа 120 г.Новосибирска;Новосибирск;2
79;Средняя общеобразовательная школа № 8 г.Читы Забайкальского края;Чита;3
79;МАОУ Лицей №2 г.Южно-Сахалинска;Южно-Сахалинск;2
79;Средняя школа №3 г.Хазар;Хазар;2
79;МАОУ СОШ №49 г. Улан-Удэ Республика Бурятия;Улан-Удэ;3
79;МАОУ гимназия №55 им. Е.Г. Вёрсткиной г. Томска;Томск;10
79;МАОУ гимназия №56 г.Томска;Томск;5
79;Томский физико-технический лицей города Томска Томской области;Томск;5
79;Томский Физико-Технический лицей;Томск;12
79;Муниципальная средняя (полная) общеобразовательная школа № 67 г.Томска;Томск;5
78;Областное государственное бюджетное общеобразовательное учреждение кадетская школа-интернат Томский кадетский корпус;Томск;1
78;Средняя общеобразовательная школа № 49 г.Томска;Томск;5
78;Средняя общеобразовательная школа № 34 имени 79-й гвардейской стрелковой дивизии г. Томск;Томск;1
78;Средняя общеобразовательная школа 67 г.Томска;Томск;1
78;МБОУ Средняя общеобразовательная школа № 11 г.Томска;Томск;1
78;Муниципальная средняя (полная) общеобразовательная школа № 49 г.Томск;Томск;3
78;Тулунская средняя общеобразовательная школа №6;Тулун;1
78;Средняя общеобразовательная школа 5 г.Улан-Удэ;Улан-Удэ;1
78;Средняя общеобразовательная школа 49 г.Улан-Удэ;Улан-Удэ;6
78;Средняя общеобразовательная школа 26 г.Улан-Удэ;Улан-Удэ;1
78;МАОУ СОШ №67;Тюмень;1
78;Тяжинская средняя общеобразовательная школа 2 пгт.Тяжинский;Тяжинский;2
78;Средняя общеобразовательная школа 40 г.Улан-Удэ;Улан-Удэ;1
78;Средняя общеобразовательная школа №60 г.Улан-Удэ Республики Бурятия;Улан-Удэ;1
78;Средняя общеобразовательная школа с углубленным изучением отдельных предметов 3 г. Ханты-Мансийска Х;Ханты-Мансийск;1
78;Гимназия № 48;Челябинск;1
78;МАОУ СОШ № 47 г.Челябинска имени Пустового В.П.;Челябинск;1
78;"МБОУ ""Лицей имени А.Г. Баженова"" г. Черногорска Республики Хакасия";Черногорск;11
78;Средняя общеобразовательная школа № 19 с углубленным изучением отдельных предметов;Черногорск;5
78;Средняя общеобразовательная школа 8 г.Южно-Сахалинск;Южно-Сахалинск;1
78;Средняя общеобразовательная школа № 1 города Юрги имени Героя Советского Союза А.П.Максименко Кемеровской области;Юрга;2
78;Муниципальное общеобразовательное учреждение средняя общеобразовательная школа с.Смоленка;Чита;1
78;Средняя общеобразовательная школа 151 г.Новосибирска;Новосибирск;1
78;Средняя общеобразовательная школа 210 г.Новосибирска;Новосибирск;2
78;Средняя общеобразовательная школа 162 г.Новосибирск;Новосибирск;1
78;Новорождественская средняя общеобразовательная школа имени Овчинникова В.И. Томского района;Новорождественское;1
78;МБОУ СОШ г.Новосибирска №202;Новосибирск;1
78;"МБОУ города Новосибирска ""Вечерняя (сменная) школа №35""";Новосибирск;1
78;"МБОУ города Новосибирска ""Средняя общеобразовательная школа №137 с углубленным изучением иностранных языков""";Новосибирск;1
78;Гимназия 12;Новосибирск;3
78;"МАОУ г. Новосибирска ""Вторая Новосибирская гимназия""";Новосибирск;2
78;"МАОУ ""Гимназия №7 ""Сибирская""";Новосибирск;1
78;"КГУ ""Лицей-интернат ""Билим-инновация"" для одаренных юношей"" акимата города Нур-Султан";Нур-Султан;1
