Средний_балл;Учебное_заведение;Город;Число_поступающих
85;МАОУ средняя общеобразовательная школа №32 г.Томска;Томск;2
85;Гимназия 24 им.М.В.Октябрьской г.Томск;Томск;2
85;МАОУ СОШ №49 г. Улан-Удэ Республика Бурятия;Улан-Удэ;2
85;Гимназия 11 г.Анжеро-Судженска;Анжеро-Судженск;4
85;"МАОУ ""Средняя общеобразовательная школа №85""";Кемерово;3
85;"коммунальное государственное учреждение ""Средняя общеобразовательная школа №28"" ГУ ""Отдел образования г. Семей ВКО""";Семей;1
85;Средняя общеобразовательная школа 31 г.Осинники;Осинники;2
85;Муниципальное общеобразовательное учреждение Лицей при ТПУ г.Томск;Томск;20
84;"Муниципальное общеобразовательное бюджетное учреждение ""Лицей Соль-Илецкого городского округа"" Оренбургской области";Соль-Илецк;1
84;Муниципальное автономное общеобразовательное учреждение Гимназия № 1 города Сосновоборска;Сосновоборск;2
84;"МБОУ ""Старопестерёвская средняя общеобразовательная школа""";Старопестерево;1
84;"БОУ г.Омска ""Гимназия №9""";Омск;1
84;"Муниципальное общеобразовательное автономное учреждение ""Средняя общеобразовательная школа № 52 г. Орска""";Орск;1
84;"БОУ г.Омска ""Гимназия 139";Омск;1
84;муниципальное Общеобразовательное Бюджетное Учреждение Лицей №5;Оренбург;1
84;Гимназия № 77 г.Северск;Северск;1
84;Средняя общеобразовательная школа №198 г.Северска закрытого адиминстартивно-территориального образования Северск Томской области;Северск;1
84;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с углубленным изучением отдельных предметов №30;Пятигорск;1
84;"МБОУ города Новосибирска ""Средняя общеобразовательная школа №137 с углубленным изучением иностранных языков""";Новосибирск;1
84;МБОУ СОШ №160;Новосибирск;2
84;"МБОУ ""Лицей №200""";Новосибирск;1
84;"МБОУ ""Инженерный лицей НГТУ""";Новосибирск;1
84;МАОУ Лицей № 9;Новосибирск;3
84;Гимназия 14 Университетская г.Новосибирска;Новосибирск;1
84;МБОУ СОШ № 60 ;Новокузнецк;1
84;"МБОУ ""Лицей № 35 имени А. И. Герлингер"" г. Новокузнецка";Новокузнецк;1
84;Структурное подразделение Новосибирского государственного угниверситета-Специализированный учебно-научный центр НГУ г.Новосибирск;Новосибирск;1
84;Средняя общеобразовательная школа 210 г.Новосибирска;Новосибирск;1
84;Средняя общеобразовательная школа 25 г.Междуреченск;Междуреченск;1
84;Средняя общеобразовательная школа 22 г.Междуреченск;Междуреченск;1
84;МАОУ Средняя общеобразовательная школа № 14;Кемерово;4
84;Средняя общеобразовательная школа 52 г.Кемерово;Кемерово;2
84;Средняя общеобразовательная школа 7 г.Канск;Канск;1
84; Средняя общеобразовательная школа  25 с углубленным изучением отдельных предметов г. Каменска-Уральского;Каменск-Уральский;2
84;Средняя общеобразовательная школа 34 г.Каменск-Уральский;Каменск-Уральский;1
84;"МАОУ Лицей №6 ""Перспектива""";Красноярск;1
84;МБОУ СОШ №12;Кумертау;1
84;МБОУ Гимназия №18;Краснодар;1
84;"Средняя школа ""Комплекс Покровский""";Красноярск;1
84;Средняя общеобразовательная школа 37 г.Белово;Белово;2
84;"ГБОУ Республики Хакасия ""Хакасская национальная гимназия-интернат им. Н.Ф. Катанова""";Абакан;2
84;Средняя общеобразовательная школа 41 г.Бийск;Бийск;1
84;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Амурский государственный университет"" г. Благовещенска Амурской области";Благовещенск;1
84;ФГБОУ ВО Лицей БГПУ;Благовещенск;1
84;"МБОУ ""Гимназия №1 им. А. А. Иноземцева""";Братск;1
84;Емельяновская средняя общеобразовательная школа 1 Емельяновского района Красноярского края;Емельяново;1
84;Гимназия №1 г.Тюмени;Тюмень;1
84;Средняя общеобразовательная школа №60 г.Улан-Удэ Республики Бурятия;Улан-Удэ;1
84;Средняя общеобразовательная школа 35 Улан-Удэ;Улан-Удэ;2
84;"Муниципальное автономное общеобразовательное учреждение ""Лингвистическая гимназия №3 г. Улан-Удэ""";Улан-Удэ;1
84;МБОУ СОШ №16;Чита;1
84;"Бюджетное общеобразовательное учреждение Ханты-Мансийского автономного округа - Югры ""Югорский физико-математический лицей-интернат"" города Ханты-Мансийска Тюменской области";Ханты-Мансийск;1
84;МАОУ Гимназия №96;Челябинск;1
84;"МБОУ ""Лицей имени А.Г. Баженова"" г. Черногорска Республики Хакасия";Черногорск;1
83;"МАОУ ""Гимназия № 80 г. Челябинска""";Челябинск;1
83;МБОУ СОШ №3;Чита;1
83;Югорский физико-математический лицей-интернат;Ханты-Мансийск;1
83;Забайкальский краевой лицей-интернат;Чита;4
83;МАОУ Гимназия города Юрги Кемеровская область;Юрга;1
83;"МАОУ ""Гимназия города Юрги""";Юрга;1
83;Саха Политехнический Лицей;Якутск;1
83;Физико-математическая школа 56 г.Улан-Удэ;Улан-Удэ;1
83;Средняя общеобразовательная школа 47 г.Улан-Удэ;Улан-Удэ;1
83;Средняя общеобразовательная школа 9 г.Улан-Удэ;Улан-Удэ;2
83;Средняя общеобразовательная школа 63 г.Улан-Удэ;Улан-Удэ;1
