Средний_балл;Учебное_заведение;Город;Число_поступающих
91;"МАОУ ""СОШ №132"" имени Н.М.Малахова";Барнаул;1
91;Гимназия 80 г.Барнаул;Барнаул;2
91;"МБОУ ""Лицей №17""";Березовский;3
91;Лицей №22 г.Белово;Белово;1
91;МБОУ Средняя школа №18 города Красноярска;Красноярск;1
91;МОУ СОШ 7;Копейск;1
91;"ГБНОУ ""Губернаторская женская гимназия-интернат""";Кемерово;2
91;"муниципальное бюджетное общеобразовательное учреждение учреждение ""Гимназия № 41"" г. Кемерово Кемеровской области";Кемерово;2
91;МБОУ «Гимназия № 32» г. Новокузнецка Кемеровской области;Новокузнецк;1
91;"МБОУ ""Гимназия №32""";Новокузнецк;1
91;"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная  школа №12"" ";Новоалександровск;1
91;"МБОУ ""Лицей №8 города Новоалтайска Алтайского края""";Новоалтайск;1
91;"Муниципальное казённое общеобразовательное учреждение ""Средняя общеобразовательная школа №10 г.Нижнеудинск"" Иркутской области";Нижнеудинск;1
91;муниципальное бюджетное общеобразовательное учреждение для детей и подростков, имеющих высокие интеллектуальные способности, гимназия №10 ЛИК города Невинномысска;Невинномысск;1
91;МБОУ СОШ № 78 г. Северск;Северск;1
91;Гимназия № 77 г.Северск;Северск;1
91;"МБОУ ""Старопестерёвская средняя общеобразовательная школа""";Старопестерево;1
91;Средняя общеобразовательная школа 51 г.Прокопьевск;Прокопьевск;1
91;МАОУ СОШ №4 г.Покачи;Покачи;1
91;МБОУ СОШ №44 с углубленным изучением отдельных предметов;Полысаево;1
91;"МБОУ ""Средняя общеобразовательная школа № 5"" - ""Школа здоровья и развития""";Радужный;1
91;Средняя общеобразовательная школа 14 г.Риддер Р.Казахстан;Риддер;2
91;"МОУ ""ГИМНАЗИЯ №34""";Саратов;1
91;"муниципальное бюджетное общеобразовательное учреждение города Новосибирска ""Средняя общеобразовательная школа № 202""";Новосибирск;1
91;Лицей 46 г.Новокузнецка;Новокузнецк;1
91;"Частное общеобразовательное учреждение ""Гимназия №1""";Новороссийск;1
91;"МБОУ города Новосибирска ""Гимназия №1""";Новосибирск;1
91;Гимназия 14 Университетская г.Новосибирска;Новосибирск;2
91;КГУ «Школа-лицей № 59»;Нур-Султан;1
91;Средняя общеобразовательная школа 2 с угл. изучением иностранных языков г.Ноябрьска;Ноябрьск;1
91;Средняя общеобразовательная школа 162 г.Омск;Омск;1
91;Средняя общеобразовательная школа 1 г.Первоуральск;Первоуральск;1
91;МБОУ Первомайскую среднюю образовательную школу Первомайского района Томской области;Первомайский;1
91;Средняя общеобразовательная школа-гимназия №9;Павлодар;2
91;"Муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 152 г. Челябинска""";Челябинск;1
91;"МАОУ ""Гимназия № 80 г. Челябинска""";Челябинск;1
