Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Усть-Илимск;57.9431325;102.7414683;16;73
Усть-Лабинск;45.222676;39.6930239;3;85
Уфа;54.734853;55.9578647;30;75
Ухта;63.5564779;53.7014202;2;66
Учалы;54.3066965;59.4126559;2;81
Хабаровск;48.4647991;135.0598811;25;73
Ханты-Мансийск;61.0024344;69.0183322;28;75
Харовск;59.9477728;40.2000794;1;64
Хотьково;56.2515725;37.9395225;3;70
Цимлянск;47.6477668;42.093022;3;77
Чапаевск;52.9289662;49.8674222;3;79
Челябинск;55.1603659;61.4007858;35;74
Черепаново;54.2206974;83.3724392;5;65
Череповец;59.1269214;37.9092243;3;79
Черногорск;53.8258425;91.3259669;85;72
Чернушка;56.5161079;56.0763919;3;79
Чита;52.0340128;113.4994884;83;79
Шагонар;51.5347357;92.9199618;3;66
Шадринск;56.0870152;63.6298234;5;62
Шарыпово;55.5389684;89.1801557;50;73
Шахты;47.7084247;40.2159154;3;66
Шелехов;52.2102462;104.0973531;6;68
Югорск;61.3124504;63.3364787;3;59
Южно-Сахалинск;46.959133;142.7381252;43;73
Юрга;55.7202689;84.8885516;371;66
Якутск;62.0280273;129.7325717;80;71
Ялуторовск;56.649167;66.297034;3;77
Яровое;52.9251728;78.5729898;26;71
