ID;Балл;Предмет;Город;Дата_Зачисления;Учебное_Заведение
165461;58;Математика;Алматы;03.08.2019;КГУ Гимназия № 120 имени Мажита Бегалина
166211;86;Русский язык;Алматы;03.08.2019;КГУ Школа-гимназия №1
166211;70;Математика;Алматы;03.08.2019;КГУ Школа-гимназия №1
166211;56;Физика;Алматы;03.08.2019;КГУ Школа-гимназия №1
166218;90;Математика;Алматы;03.08.2019;КГУ Школа-гимназия №44  Турксибского района города Алматы 
166218;83;Русский язык;Алматы;03.08.2019;КГУ Школа-гимназия №44  Турксибского района города Алматы 
166218;51;Физика;Алматы;03.08.2019;КГУ Школа-гимназия №44  Турксибского района города Алматы 
168296;92;Русский язык;Алматы;08.08.2019;КГУ общеобразовательная школа №31
168296;56;Математика;Алматы;08.08.2019;КГУ общеобразовательная школа №31
168296;51;Физика;Алматы;08.08.2019;КГУ общеобразовательная школа №31
166311;90;Математика;Алматы;03.08.2019;КГУ Школа-гимназия 44 Турксибского района города Алматы
166311;78;Русский язык;Алматы;03.08.2019;КГУ Школа-гимназия 44 Турксибского района города Алматы
166311;58;Физика;Алматы;03.08.2019;КГУ Школа-гимназия 44 Турксибского района города Алматы
170419;87;Русский язык;Алматы;25.09.2019;Коммунальное государственное учреждение Гимназия №111
170419;62;Математика;Алматы;25.09.2019;Коммунальное государственное учреждение Гимназия №111
170419;53;Химия;Алматы;25.09.2019;Коммунальное государственное учреждение Гимназия №111
166187;81;Физика;Алматы;03.08.2019;Лицей 134 г.Алматы Р.Казахстан
166187;70;Математика;Алматы;03.08.2019;Лицей 134 г.Алматы Р.Казахстан
166187;60;Русский язык;Алматы;03.08.2019;Лицей 134 г.Алматы Р.Казахстан
165306;84;Физика;Алматы;03.08.2019;Общеобразовательная школа 7 г.Алматы Р.Казахстан
165306;79;Русский язык;Алматы;03.08.2019;Общеобразовательная школа 7 г.Алматы Р.Казахстан
165306;53;Математика;Алматы;03.08.2019;Общеобразовательная школа 7 г.Алматы Р.Казахстан
165306;18;Информатика и ИКТ;Алматы;03.08.2019;Общеобразовательная школа 7 г.Алматы Р.Казахстан
166184;73;Русский язык;Алматы;08.08.2019;Школа ОФРО БЭСТ
166184;71;Физика;Алматы;08.08.2019;Школа ОФРО БЭСТ
166184;50;Математика;Алматы;08.08.2019;Школа ОФРО БЭСТ
166539;85;Обществознание;Алматы;08.08.2019;Школа-гимназия №44 Турксибского района города Алматы
166539;81;Русский язык;Алматы;08.08.2019;Школа-гимназия №44 Турксибского района города Алматы
166539;64;Творческий конкурс;Алматы;08.08.2019;Школа-гимназия №44 Турксибского района города Алматы
169812;91;Русский язык;Алтай;08.08.2019;КГУ Школа-лицей города Алтай Восточно-Казахстанской области
169812;77;Математика;Алтай;08.08.2019;КГУ Школа-лицей города Алтай Восточно-Казахстанской области
169812;72;Физика;Алтай;08.08.2019;КГУ Школа-лицей города Алтай Восточно-Казахстанской области
169958;100;Русский язык;Алтай;20.08.2019;КГУ СОШ №6 г.Алтай
169958;63;Химия;Алтай;20.08.2019;КГУ СОШ №6 г.Алтай
169958;49;Математика;Алтай;20.08.2019;КГУ СОШ №6 г.Алтай
171609;85;Русский язык;Амга;03.08.2019;Амгинский лицей им. академика Л.В. Киренского
171609;83;Информатика и ИКТ;Амга;03.08.2019;Амгинский лицей им. академика Л.В. Киренского
171609;74;Математика;Амга;03.08.2019;Амгинский лицей им. академика Л.В. Киренского
166928;82;Физика;Анапа;03.08.2019;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №1 МО г.-к. Анапа
166928;72;Математика;Анапа;03.08.2019;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №1 МО г.-к. Анапа
166928;65;Русский язык;Анапа;03.08.2019;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №1 МО г.-к. Анапа
171333;98;Русский язык;Ангарск;03.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
167620;91;Информатика и ИКТ;Ангарск;03.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
171333;84;Информатика и ИКТ;Ангарск;03.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
167620;80;Математика;Ангарск;03.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
169270;80;Математика;Ангарск;08.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
169270;80;Русский язык;Ангарск;08.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
167620;78;Физика;Ангарск;03.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
171333;78;Математика;Ангарск;03.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
167620;70;Русский язык;Ангарск;03.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
169270;64;Информатика и ИКТ;Ангарск;08.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
169270;60;Физика;Ангарск;08.08.2019;МАОУ Ангарский лицей № 2 имени М. К. Янгеля
169467;85;Русский язык;Ангарск;03.08.2019;МАОУ Ангарский лицей №1 Иркутской области
169467;78;Химия;Ангарск;03.08.2019;МАОУ Ангарский лицей №1 Иркутской области
169467;70;Математика;Ангарск;03.08.2019;МАОУ Ангарский лицей №1 Иркутской области
169186;87;Русский язык;Ангарск;03.08.2019;МАОУ Гимназия №8 г. Ангарска
169186;76;Математика;Ангарск;03.08.2019;МАОУ Гимназия №8 г. Ангарска
169186;53;Физика;Ангарск;03.08.2019;МАОУ Гимназия №8 г. Ангарска
168851;86;Химия;Ангарск;03.08.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
168836;85;Русский язык;Ангарск;29.07.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
168836;76;Математика;Ангарск;29.07.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
166117;76;Математика;Ангарск;03.08.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
168851;74;Математика;Ангарск;03.08.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
168836;72;Информатика и ИКТ;Ангарск;29.07.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
166117;71;Русский язык;Ангарск;03.08.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
168851;69;Русский язык;Ангарск;03.08.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
168851;60;Физика;Ангарск;03.08.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
166117;60;Физика;Ангарск;03.08.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
168836;53;Физика;Ангарск;29.07.2019;Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов г.Ангарск
172735;85;Русский язык;Андижан;25.09.2019;Андижанский колледж малого и среднего бизнеса
172735;60;Физика;Андижан;25.09.2019;Андижанский колледж малого и среднего бизнеса
172735;48;Математика;Андижан;25.09.2019;Андижанский колледж малого и среднего бизнеса
174015;91;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский горный техникум
174015;78;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский горный техникум
174049;72;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский горный техникум
174049;71;Физика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский горный техникум
174015;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский горный техникум
174049;56;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский горный техникум
174363;93;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173981;93;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174022;92;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174059;91;Физика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174044;90;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174087;90;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174054;90;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174062;90;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174019;89;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174104;89;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174003;89;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174363;89;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174112;89;Физика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174112;88;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173997;87;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173998;86;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173981;86;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173999;86;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174060;86;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174044;86;Физика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174032;86;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174013;86;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174005;85;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173990;84;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173997;84;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174003;82;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174032;82;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174059;81;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174022;79;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174004;79;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174104;79;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173999;78;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173990;78;Физика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174024;77;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173992;77;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174013;74;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174104;73;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174004;73;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174062;72;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174062;71;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174019;71;Физика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174009;70;Физика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173998;69;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174004;68;Информатика и ИКТ;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174060;66;Химия;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174019;65;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174044;65;Химия;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173981;63;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173999;63;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174054;63;Химия;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174054;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174062;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173998;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173997;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173981;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174019;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174104;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174004;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174022;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174363;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174005;62;Химия;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174112;62;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174059;62;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174024;62;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174009;58;Русский язык;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173998;58;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
173992;57;Химия;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173992;56;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174087;56;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174087;56;Русский язык;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
174009;56;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
174060;56;Математика;Анжеро-Судженск;25.09.2019;Анжеро-Судженский политехнический колледж
173999;56;Математика;Анжеро-Судженск;11.09.2019;Анжеро-Судженский политехнический колледж
