Город;Широта;Долгота;Число_абитуриентов;Средний_балл
Омская;60.874067188946654;79.62018871474523;6;71
Онгудай;50.7500000;86.1500000;3;77
Онохой 1-й;51.9285900;108.0669300;3;73
Оренбург;51.7875191;55.1017379;18;81
Орехово-Зуево;55.8151729;38.9870711;3;79
Орск;51.2293069;58.4751889;18;77
Ортатобе;45.29749327279678;77.97287004915115;15;61
Осинники;53.5987397;87.3369948;63;69
Отрадное;59.772596;30.7988403;3;57
Павловск;50.4533684;40.1369087;9;64
Павлодар;52.2833300;76.9666700;82;74
Павлодарская;54.038264094454384;71.0745217348672;9;73
Паньцзинь;41.179474;122.019620;3;67
Парабель;58.6977800;81.4825000;21;65
Парбиг;57.26982976369055;81.40826611074017;3;73
Парголово;60.0812000;30.2762600;3;79
Партизанск;43.1279833;133.1264754;2;61
Пеледуй;59.6288900;112.7405600;3;80
Первомайский;53.2485000;40.2871000;6;80
Первомайское;43.9190400;46.7101900;3;63
Первоуральск;56.9081665;59.9429205;6;83
Пермь;58.0103211;56.2341778;30;80
Петровск-Забайкальский;51.2748381;108.8467139;5;71
Петровское;57.0103900;39.2692800;3;75
Петропавловка;50.6114000;105.3196000;3;72
Петропавловск;54.8666700;69.1500000;28;68
Петропавловск-Камчатский;53.0370213;158.6559142;5;67
Пластуновская;45.2943200;39.2650500;3;68
Плотниково;55.0247200;85.9436100;22;60
Победа;58.2892254550459;75.78623590586862;6;70
Подгорная;44.2030600;43.4297200;3;66
Подгорное;51.7350400;39.1496100;11;67
Подгорный;56.1394633655321;56.1394633655321;7;73
Пойковский;61.2333300;73.3333300;6;73
Покачи;61.7421977;75.5942069;6;75
Полысаево;54.6053968;86.2808803;16;70
Поросино;56.566138022441955;84.77338804103277;6;58
Поротниково;57.01320312031261;82.3462619443153;2;62
Порошина;56.85933056699221;62.503250053529285;3;72
Порт-Саид;31.2565400;32.2841100;3;51
Поспелиха;51.9500000;81.7666700;3;64
Преображенский;55.9551935163452;90.459330691298;3;65
Пригородное;52.45688414656898;44.25959422524896;2;57
Прогресс;49.81599534912457;129.75045447905913;3;74
Прокопьевск;53.8604562;86.7183428;165;73
Прокудское;55.0089000;82.4574000;3;55
Промышленная;54.9159000;85.6385000;18;69
Псков;57.819284;28.3318188;3;76
Пудовка;57.257821096653;83.74875443364961;2;63
Пыть-Ях;60.7585769;72.8366445;6;69
Пятигорск;44.0411669;43.0661091;4;85
